game_date_est,team_abbreviation_home,team_nickname_home,team_wins_losses_home,pts_home,team_abbreviation_away,team_nickname_away,team_wins_losses_away,pts_away
12/11/2022,HOU,Rockets,8-18,97,MIL,Bucks,19-7,92
12/11/2022,DET,Pistons,7-22,117,LAL,Lakers,11-15,124
12/11/2022,PHI,76ers,14-12,131,CHA,Hornets,7-20,113
12/12/2022,LAC,Clippers,16-13,113,BOS,Celtics,21-7,93
12/12/2022,POR,Trail Blazers,15-12,133,MIN,Timberwolves,13-14,112
12/12/2022,SAS,Spurs,9-18,112,CLE,Cavaliers,17-11,111
12/12/2022,DAL,Mavericks,14-13,121,OKC,Thunder,11-16,114
12/12/2022,MEM,Grizzlies,18-9,128,ATL,Hawks,14-14,103
12/12/2022,IND,Pacers,14-14,82,MIA,Heat,13-15,87
12/12/2022,WAS,Wizards,11-17,100,BKN,Nets,17-12,112
12/13/2022,LAL,Lakers,11-16,118,BOS,Celtics,22-7,122
12/13/2022,UTA,Jazz,16-14,121,NOP,Pelicans,18-9,100
12/13/2022,HOU,Rockets,9-18,111,PHX,Suns,16-12,97
12/13/2022,PHI,76ers,15-12,123,SAC,Kings,14-12,103
12/13/2022,MIL,Bucks,20-7,128,GSW,Warriors,14-14,111
12/14/2022,DEN,Nuggets,17-10,141,WAS,Wizards,11-18,128
12/14/2022,LAC,Clippers,17-13,99,MIN,Timberwolves,13-15,88
12/14/2022,CHA,Hornets,7-21,134,DET,Pistons,8-22,141
12/14/2022,SAS,Spurs,9-19,112,POR,Trail Blazers,16-12,128
12/14/2022,DAL,Mavericks,14-14,90,CLE,Cavaliers,18-11,105
12/14/2022,ORL,Magic,9-20,135,ATL,Hawks,14-15,124
12/14/2022,IND,Pacers,15-14,125,GSW,Warriors,14-15,119
12/14/2022,TOR,Raptors,13-15,123,SAC,Kings,15-12,124
12/14/2022,OKC,Thunder,11-17,108,MIA,Heat,14-15,110
12/14/2022,CHI,Bulls,11-16,120,NYK,Knicks,15-13,128
12/15/2022,MEM,Grizzlies,19-9,142,MIL,Bucks,20-8,101
12/15/2022,UTA,Jazz,17-14,132,NOP,Pelicans,18-10,129
12/15/2022,LAC,Clippers,17-14,95,PHX,Suns,17-12,111
12/15/2022,HOU,Rockets,9-19,108,MIA,Heat,15-15,111
12/16/2022,BOS,Celtics,22-8,109,ORL,Magic,10-20,117
12/16/2022,PHI,76ers,16-12,118,GSW,Warriors,14-16,106
12/16/2022,CHA,Hornets,7-22,106,ATL,Hawks,15-15,125
12/16/2022,CHI,Bulls,11-17,91,NYK,Knicks,16-13,114
12/16/2022,OKC,Thunder,11-18,110,MIN,Timberwolves,14-15,112
12/16/2022,CLE,Cavaliers,19-11,118,IND,Pacers,15-15,112
12/16/2022,DAL,Mavericks,15-14,130,POR,Trail Blazers,16-13,110
12/16/2022,TOR,Raptors,13-16,116,BKN,Nets,18-12,119
12/16/2022,LAL,Lakers,12-16,126,DEN,Nuggets,17-11,108
12/16/2022,DET,Pistons,8-23,113,SAC,Kings,16-12,122
12/17/2022,LAC,Clippers,18-14,102,WAS,Wizards,11-19,93
12/17/2022,OKC,Thunder,12-18,115,MEM,Grizzlies,19-10,109
12/17/2022,HOU,Rockets,9-20,95,POR,Trail Blazers,17-13,107
12/17/2022,CLE,Cavaliers,20-11,100,DAL,Mavericks,15-15,99
12/17/2022,SAS,Spurs,9-20,101,MIA,Heat,16-15,111
12/17/2022,PHX,Suns,18-12,118,NOP,Pelicans,18-11,114
12/17/2022,MIL,Bucks,21-8,123,UTA,Jazz,17-15,97
12/18/2022,IND,Pacers,15-16,106,NYK,Knicks,17-13,109
12/18/2022,LAL,Lakers,13-16,119,WAS,Wizards,11-20,117
12/18/2022,MIN,Timberwolves,15-15,150,CHI,Bulls,11-18,126
12/18/2022,BOS,Celtics,22-9,92,ORL,Magic,11-20,95
12/18/2022,DEN,Nuggets,18-11,119,CHA,Hornets,7-23,115
12/18/2022,DET,Pistons,8-24,121,BKN,Nets,19-12,124
12/18/2022,TOR,Raptors,13-17,110,GSW,Warriors,15-16,126
12/19/2022,OKC,Thunder,13-18,123,POR,Trail Blazers,17-14,121
12/19/2022,HOU,Rockets,9-21,105,SAS,Spurs,10-20,124
12/19/2022,ATL,Hawks,16-15,126,ORL,Magic,11-21,125
12/19/2022,CLE,Cavaliers,21-11,122,UTA,Jazz,17-16,99
12/19/2022,PHX,Suns,19-12,130,LAL,Lakers,13-17,104
12/19/2022,PHI,76ers,17-12,104,TOR,Raptors,13-18,101
12/19/2022,SAC,Kings,16-13,119,CHA,Hornets,8-23,125
12/19/2022,NOP,Pelicans,18-12,119,MIL,Bucks,22-8,128
12/19/2022,MIN,Timberwolves,16-15,116,DAL,Mavericks,15-16,106
12/20/2022,NYK,Knicks,18-13,132,GSW,Warriors,15-17,94
12/20/2022,DEN,Nuggets,19-11,105,MEM,Grizzlies,19-11,91
12/20/2022,DET,Pistons,8-25,111,UTA,Jazz,18-16,126
12/20/2022,MIA,Heat,16-16,103,CHI,Bulls,12-18,113
12/20/2022,PHX,Suns,19-13,110,WAS,Wizards,12-20,113
12/21/2022,BKN,Nets,20-12,143,GSW,Warriors,15-18,113
12/21/2022,PHI,76ers,18-12,113,DET,Pistons,8-26,93
12/21/2022,HOU,Rockets,9-22,110,ORL,Magic,12-21,116
12/21/2022,OKC,Thunder,14-18,101,POR,Trail Blazers,17-15,98
12/21/2022,BOS,Celtics,22-10,112,IND,Pacers,16-16,117
12/21/2022,CLE,Cavaliers,22-11,114,MIL,Bucks,22-9,106
12/21/2022,ATL,Hawks,16-16,108,CHI,Bulls,13-18,110
12/21/2022,NYK,Knicks,18-14,106,TOR,Raptors,14-18,113
12/21/2022,MIN,Timberwolves,16-16,99,DAL,Mavericks,16-16,104
12/21/2022,SAC,Kings,17-13,134,LAL,Lakers,13-18,120
12/21/2022,LAC,Clippers,19-14,126,CHA,Hornets,8-24,105
12/22/2022,UTA,Jazz,19-16,120,WAS,Wizards,12-21,112
12/22/2022,NOP,Pelicans,19-12,126,SAS,Spurs,10-21,117
12/23/2022,ATL,Hawks,17-16,130,DET,Pistons,8-27,105
12/23/2022,LAL,Lakers,13-19,130,CHA,Hornets,9-24,134
12/23/2022,SAC,Kings,17-14,111,WAS,Wizards,13-21,125
12/23/2022,NYK,Knicks,18-15,117,CHI,Bulls,14-18,118
12/23/2022,OKC,Thunder,14-19,125,NOP,Pelicans,20-12,128
12/23/2022,PHI,76ers,19-12,119,LAC,Clippers,19-15,114
12/23/2022,BKN,Nets,21-12,118,MIL,Bucks,22-10,100
12/23/2022,PHX,Suns,19-14,100,MEM,Grizzlies,20-11,125
12/23/2022,CLE,Cavaliers,22-12,107,TOR,Raptors,15-18,118
12/23/2022,DEN,Nuggets,20-11,120,POR,Trail Blazers,17-16,107
12/23/2022,HOU,Rockets,9-23,106,DAL,Mavericks,17-16,112
12/23/2022,MIA,Heat,16-17,108,IND,Pacers,17-16,111
12/23/2022,BOS,Celtics,23-10,121,MIN,Timberwolves,16-17,109
12/23/2022,ORL,Magic,13-21,133,SAS,Spurs,10-22,113
12/25/2022,DAL,Mavericks,18-16,124,LAL,Lakers,13-20,115
12/25/2022,GSW,Warriors,16-18,123,MEM,Grizzlies,20-12,109
12/25/2022,NYK,Knicks,18-16,112,PHI,76ers,20-12,119
12/25/2022,BOS,Celtics,24-10,139,MIL,Bucks,22-11,118
12/25/2022,DEN,Nuggets,21-11,128,PHX,Suns,19-15,125
12/26/2022,MIA,Heat,17-17,113,MIN,Timberwolves,16-18,110
12/26/2022,POR,Trail Blazers,18-16,124,CHA,Hornets,9-25,113
12/26/2022,SAS,Spurs,11-22,126,UTA,Jazz,19-17,122
12/26/2022,CLE,Cavaliers,22-13,117,BKN,Nets,22-12,125
12/26/2022,DET,Pistons,8-28,131,LAC,Clippers,20-15,142
12/26/2022,NOP,Pelicans,21-12,113,IND,Pacers,17-17,93
12/26/2022,CHI,Bulls,14-19,118,HOU,Rockets,10-23,133
12/27/2022,BOS,Celtics,25-10,126,HOU,Rockets,10-24,102
12/27/2022,MEM,Grizzlies,20-13,108,PHX,Suns,20-15,125
12/27/2022,OKC,Thunder,15-19,130,SAS,Spurs,11-23,114
12/27/2022,SAC,Kings,17-15,106,DEN,Nuggets,22-11,113
12/27/2022,GSW,Warriors,17-18,110,CHA,Hornets,9-26,105
12/27/2022,TOR,Raptors,15-19,113,LAC,Clippers,21-15,124
12/27/2022,WAS,Wizards,14-21,116,PHI,76ers,20-13,111
12/27/2022,ORL,Magic,13-22,110,LAL,Lakers,14-20,129
12/27/2022,IND,Pacers,18-17,129,ATL,Hawks,17-17,114
12/27/2022,DAL,Mavericks,19-16,126,NYK,Knicks,18-17,121
12/28/2022,GSW,Warriors,18-18,112,UTA,Jazz,19-18,107
12/28/2022,ATL,Hawks,17-18,107,BKN,Nets,23-12,108
12/28/2022,SAC,Kings,18-15,127,DEN,Nuggets,22-12,126
12/28/2022,CHI,Bulls,15-19,119,MIL,Bucks,22-12,113
12/28/2022,MIA,Heat,18-17,112,LAL,Lakers,14-21,98
12/28/2022,NOP,Pelicans,22-12,119,MIN,Timberwolves,16-19,118
12/28/2022,WAS,Wizards,15-21,127,PHX,Suns,20-16,102
12/28/2022,DET,Pistons,9-28,121,ORL,Magic,13-23,101
12/29/2022,SAS,Spurs,12-23,122,NYK,Knicks,18-18,115
12/29/2022,TOR,Raptors,15-20,106,MEM,Grizzlies,21-13,119
12/29/2022,IND,Pacers,19-17,135,CLE,Cavaliers,22-14,126
12/29/2022,BOS,Celtics,26-10,116,LAC,Clippers,21-16,110
12/29/2022,DAL,Mavericks,20-16,129,HOU,Rockets,10-25,114
12/29/2022,CHA,Hornets,10-26,121,OKC,Thunder,15-20,113
12/30/2022,GSW,Warriors,19-18,118,POR,Trail Blazers,18-17,112
12/30/2022,TOR,Raptors,16-20,113,PHX,Suns,20-17,104
12/30/2022,MIL,Bucks,23-12,123,MIN,Timberwolves,16-20,114
12/30/2022,NOP,Pelicans,23-12,127,PHI,76ers,20-14,116
12/30/2022,DEN,Nuggets,23-12,124,MIA,Heat,18-18,119
12/30/2022,SAC,Kings,19-15,126,UTA,Jazz,19-19,125
12/30/2022,ORL,Magic,13-24,100,WAS,Wizards,16-21,119
12/30/2022,ATL,Hawks,17-19,121,LAL,Lakers,15-21,130
12/30/2022,CHI,Bulls,16-19,132,DET,Pistons,9-29,118
12/31/2022,UTA,Jazz,19-20,123,MIA,Heat,19-18,126
12/31/2022,CHA,Hornets,10-27,106,BKN,Nets,24-12,123
12/31/2022,MEM,Grizzlies,22-13,116,NOP,Pelicans,23-13,101
12/31/2022,HOU,Rockets,10-26,88,NYK,Knicks,19-18,108
12/31/2022,SAS,Spurs,12-24,125,DAL,Mavericks,21-16,126
12/31/2022,IND,Pacers,20-17,131,LAC,Clippers,21-17,130
12/31/2022,MIN,Timberwolves,16-21,104,DET,Pistons,10-29,116
12/31/2022,CHI,Bulls,16-20,102,CLE,Cavaliers,23-14,103
12/31/2022,OKC,Thunder,15-21,96,PHI,76ers,21-14,115
1/1/2023,MEM,Grizzlies,23-13,118,SAC,Kings,19-16,108
1/1/2023,DEN,Nuggets,24-12,123,BOS,Celtics,26-11,111
1/1/2023,MIL,Bucks,23-13,95,WAS,Wizards,17-21,118
1/2/2023,IND,Pacers,21-17,122,TOR,Raptors,16-21,114
1/2/2023,CHA,Hornets,10-28,115,LAL,Lakers,16-21,121
1/2/2023,CLE,Cavaliers,24-14,145,CHI,Bulls,16-21,134
1/2/2023,NYK,Knicks,20-18,102,PHX,Suns,20-18,83
1/2/2023,POR,Trail Blazers,19-17,135,DET,Pistons,10-30,106
1/2/2023,PHI,76ers,22-14,120,NOP,Pelicans,23-14,111
1/2/2023,MIN,Timberwolves,17-21,124,DEN,Nuggets,24-13,111
1/2/2023,BKN,Nets,25-12,139,SAS,Spurs,12-25,103
1/2/2023,HOU,Rockets,10-27,106,DAL,Mavericks,22-16,111
1/2/2023,GSW,Warriors,20-18,143,ATL,Hawks,17-20,141
1/2/2023,LAC,Clippers,21-18,100,MIA,Heat,20-18,110
1/3/2023,MIL,Bucks,24-13,123,WAS,Wizards,17-22,113
1/3/2023,UTA,Jazz,19-21,115,SAC,Kings,20-16,117
1/3/2023,OKC,Thunder,16-21,150,BOS,Celtics,26-12,117
1/4/2023,PHI,76ers,23-14,129,IND,Pacers,21-18,126
1/4/2023,CHI,Bulls,17-21,121,BKN,Nets,25-13,112
1/4/2023,CLE,Cavaliers,25-14,90,PHX,Suns,20-19,88
1/4/2023,MIN,Timberwolves,18-21,113,POR,Trail Blazers,19-18,106
1/4/2023,TOR,Raptors,16-22,101,MIL,Bucks,25-13,104
1/4/2023,ORL,Magic,14-24,126,OKC,Thunder,16-22,115
1/4/2023,NYK,Knicks,21-18,117,SAS,Spurs,12-26,114
1/4/2023,NOP,Pelicans,24-14,119,HOU,Rockets,10-28,108
1/4/2023,CHA,Hornets,10-29,107,MEM,Grizzlies,24-13,131
1/4/2023,GSW,Warriors,20-19,119,DET,Pistons,11-30,122
1/4/2023,SAC,Kings,20-17,117,ATL,Hawks,18-20,120
1/4/2023,LAL,Lakers,17-21,112,MIA,Heat,20-19,109
1/5/2023,DAL,Mavericks,22-17,95,BOS,Celtics,27-12,124
1/5/2023,HOU,Rockets,10-29,114,UTA,Jazz,20-21,131
1/5/2023,DEN,Nuggets,25-13,122,LAC,Clippers,21-19,91
1/5/2023,ORL,Magic,14-25,115,MEM,Grizzlies,25-13,123
1/6/2023,PHI,76ers,23-15,112,CHI,Bulls,18-21,126
1/6/2023,LAL,Lakers,18-21,130,ATL,Hawks,18-21,114
1/6/2023,NOP,Pelicans,24-15,102,BKN,Nets,26-13,108
1/6/2023,IND,Pacers,22-18,108,POR,Trail Blazers,19-19,99
1/6/2023,SAS,Spurs,13-26,121,DET,Pistons,11-31,109
1/6/2023,OKC,Thunder,17-22,127,WAS,Wizards,17-23,110
1/6/2023,PHX,Suns,20-20,96,MIA,Heat,21-19,104
1/6/2023,MIN,Timberwolves,19-21,128,LAC,Clippers,21-20,115
1/6/2023,DEN,Nuggets,26-13,121,CLE,Cavaliers,25-15,108
1/6/2023,TOR,Raptors,16-23,108,NYK,Knicks,22-18,112
1/6/2023,MIL,Bucks,25-14,109,CHA,Hornets,11-29,138
1/7/2023,CHI,Bulls,19-21,126,UTA,Jazz,20-22,118
1/7/2023,DAL,Mavericks,23-17,127,NOP,Pelicans,24-16,117
1/7/2023,SAC,Kings,20-18,134,LAL,Lakers,19-21,136
1/7/2023,GSW,Warriors,20-20,101,ORL,Magic,15-25,115
1/7/2023,SAS,Spurs,13-27,116,BOS,Celtics,28-12,121
1/8/2023,OKC,Thunder,18-22,120,DAL,Mavericks,23-18,109
1/8/2023,PHX,Suns,20-21,98,CLE,Cavaliers,26-15,112
1/8/2023,IND,Pacers,23-18,116,CHA,Hornets,11-30,111
1/8/2023,DET,Pistons,11-32,111,PHI,76ers,24-15,123
1/8/2023,TOR,Raptors,17-23,117,POR,Trail Blazers,19-20,105
1/8/2023,MEM,Grizzlies,26-13,123,UTA,Jazz,20-23,118
1/8/2023,MIA,Heat,21-20,101,BKN,Nets,27-13,102
1/8/2023,HOU,Rockets,10-30,96,MIN,Timberwolves,20-21,104
1/8/2023,LAC,Clippers,21-21,108,ATL,Hawks,19-21,112
1/9/2023,WAS,Wizards,17-24,112,NOP,Pelicans,25-16,132
1/9/2023,BOS,Celtics,29-12,107,CHI,Bulls,19-22,99
1/9/2023,MEM,Grizzlies,27-13,121,SAS,Spurs,13-28,113
1/9/2023,NYK,Knicks,22-19,107,MIL,Bucks,26-14,111
1/9/2023,SAC,Kings,21-18,136,ORL,Magic,15-26,111
1/9/2023,DEN,Nuggets,27-13,122,LAL,Lakers,19-22,109
1/10/2023,MIA,Heat,22-20,112,OKC,Thunder,18-23,111
1/10/2023,UTA,Jazz,21-23,116,CLE,Cavaliers,26-16,114
1/10/2023,GSW,Warriors,20-21,113,PHX,Suns,21-21,125
1/10/2023,TOR,Raptors,18-23,132,CHA,Hornets,11-31,120
1/10/2023,POR,Trail Blazers,19-21,106,ORL,Magic,16-26,109
1/10/2023,LAC,Clippers,22-21,113,DAL,Mavericks,23-19,101
1/10/2023,PHI,76ers,25-15,147,DET,Pistons,11-33,116
1/11/2023,WAS,Wizards,18-24,100,CHI,Bulls,19-23,97
1/11/2023,NYK,Knicks,23-19,119,IND,Pacers,23-19,113
1/11/2023,SAC,Kings,22-18,135,HOU,Rockets,10-31,115
1/11/2023,ATL,Hawks,19-22,105,MIL,Bucks,27-14,114
1/11/2023,BOS,Celtics,30-12,125,NOP,Pelicans,25-17,114
1/11/2023,DET,Pistons,12-33,135,MIN,Timberwolves,20-22,118
1/11/2023,MEM,Grizzlies,28-13,135,SAS,Spurs,13-29,129
1/11/2023,DEN,Nuggets,28-13,126,PHX,Suns,21-22,97
1/12/2023,LAL,Lakers,19-23,115,DAL,Mavericks,24-19,119
1/12/2023,TOR,Raptors,19-23,124,CHA,Hornets,11-32,114
1/12/2023,MIA,Heat,23-20,108,MIL,Bucks,27-15,102
1/12/2023,POR,Trail Blazers,19-22,113,CLE,Cavaliers,27-16,119
1/12/2023,BKN,Nets,27-14,98,BOS,Celtics,31-12,109
1/12/2023,PHI,76ers,25-16,114,OKC,Thunder,19-23,133
1/13/2023,DET,Pistons,12-34,110,NOP,Pelicans,26-17,116
1/13/2023,CHI,Bulls,19-24,110,OKC,Thunder,20-23,124
1/13/2023,UTA,Jazz,22-23,112,ORL,Magic,16-27,108
1/13/2023,WAS,Wizards,18-25,108,NYK,Knicks,24-19,112
1/13/2023,IND,Pacers,23-20,111,ATL,Hawks,20-22,113
1/13/2023,SAS,Spurs,13-30,113,GSW,Warriors,21-21,144
1/13/2023,MIN,Timberwolves,21-22,121,PHX,Suns,21-23,116
1/13/2023,LAC,Clippers,22-22,103,DEN,Nuggets,29-13,115
1/13/2023,SAC,Kings,23-18,139,HOU,Rockets,10-32,114
1/14/2023,POR,Trail Blazers,20-22,136,DAL,Mavericks,24-20,119
1/14/2023,MIN,Timberwolves,22-22,110,CLE,Cavaliers,27-17,102
1/14/2023,UTA,Jazz,22-24,117,PHI,76ers,26-16,118
1/14/2023,MIA,Heat,24-20,111,MIL,Bucks,27-16,95
1/14/2023,CHA,Hornets,11-33,106,BOS,Celtics,32-12,122
1/14/2023,IND,Pacers,23-21,112,MEM,Grizzlies,29-13,130
1/14/2023,TOR,Raptors,19-24,103,ATL,Hawks,21-22,114
1/15/2023,DET,Pistons,12-35,104,NYK,Knicks,25-19,117
1/15/2023,BKN,Nets,27-15,102,OKC,Thunder,21-23,112
1/15/2023,SAS,Spurs,13-31,119,SAC,Kings,24-18,132
1/15/2023,CHI,Bulls,20-24,132,GSW,Warriors,21-22,118
1/15/2023,DEN,Nuggets,30-13,119,ORL,Magic,16-28,116
1/15/2023,POR,Trail Blazers,21-22,140,DAL,Mavericks,24-21,123
1/15/2023,LAL,Lakers,19-24,112,PHI,76ers,27-16,113
1/15/2023,LAC,Clippers,23-22,121,HOU,Rockets,10-33,100
1/16/2023,ATL,Hawks,22-22,121,MIA,Heat,24-21,113
1/16/2023,CHA,Hornets,11-34,118,BOS,Celtics,33-12,130
1/16/2023,MIN,Timberwolves,22-23,125,UTA,Jazz,23-24,126
1/16/2023,CLE,Cavaliers,28-17,113,NOP,Pelicans,26-18,103
1/16/2023,NYK,Knicks,25-20,121,TOR,Raptors,20-24,123
1/16/2023,LAL,Lakers,20-24,140,HOU,Rockets,10-34,132
1/16/2023,MEM,Grizzlies,30-13,136,PHX,Suns,21-24,106
1/16/2023,WAS,Wizards,18-26,118,GSW,Warriors,22-22,127
1/16/2023,MIL,Bucks,28-16,132,IND,Pacers,23-22,119
1/17/2023,SAS,Spurs,14-31,106,BKN,Nets,27-16,98
1/17/2023,DEN,Nuggets,31-13,122,POR,Trail Blazers,21-23,113
1/17/2023,LAC,Clippers,23-23,110,PHI,76ers,28-16,120
1/17/2023,MIL,Bucks,29-16,130,TOR,Raptors,20-25,122
1/18/2023,DEN,Nuggets,32-13,122,MIN,Timberwolves,22-24,118
1/18/2023,HOU,Rockets,10-35,117,CHA,Hornets,12-34,122
1/18/2023,NOP,Pelicans,26-19,98,MIA,Heat,25-21,124
1/18/2023,LAL,Lakers,20-25,111,SAC,Kings,25-18,116
1/18/2023,DAL,Mavericks,24-22,122,ATL,Hawks,23-22,130
1/18/2023,NYK,Knicks,25-21,105,WAS,Wizards,19-26,116
1/18/2023,UTA,Jazz,24-24,126,LAC,Clippers,23-24,103
1/18/2023,OKC,Thunder,22-23,126,IND,Pacers,23-23,106
1/18/2023,MEM,Grizzlies,31-13,115,CLE,Cavaliers,28-18,114
1/19/2023,BOS,Celtics,34-12,121,GSW,Warriors,22-23,118
1/19/2023,MIN,Timberwolves,23-24,128,TOR,Raptors,20-26,126
1/19/2023,POR,Trail Blazers,21-24,95,PHI,76ers,29-16,105
1/19/2023,PHX,Suns,22-24,117,BKN,Nets,27-17,112
1/19/2023,DET,Pistons,12-36,108,CHI,Bulls,21-24,126
1/20/2023,SAC,Kings,26-18,118,OKC,Thunder,22-24,113
1/20/2023,UTA,Jazz,24-25,106,BKN,Nets,28-17,117
1/20/2023,CLE,Cavaliers,28-19,114,GSW,Warriors,23-23,120
1/20/2023,LAL,Lakers,21-25,122,MEM,Grizzlies,31-14,121
1/20/2023,DEN,Nuggets,33-13,134,IND,Pacers,23-24,111
1/20/2023,DAL,Mavericks,25-22,115,MIA,Heat,25-22,90
1/20/2023,SAS,Spurs,14-32,126,LAC,Clippers,24-24,131
1/20/2023,ATL,Hawks,24-22,139,NYK,Knicks,25-22,124
1/20/2023,ORL,Magic,17-28,123,NOP,Pelicans,26-20,110
1/21/2023,ATL,Hawks,24-23,118,CHA,Hornets,13-34,122
1/21/2023,PHX,Suns,23-24,112,IND,Pacers,23-25,107
1/21/2023,SAC,Kings,26-19,127,PHI,76ers,30-16,129
1/21/2023,MIN,Timberwolves,24-24,113,HOU,Rockets,10-36,104
1/21/2023,CLE,Cavaliers,29-19,114,MIL,Bucks,29-17,102
1/21/2023,WAS,Wizards,20-26,138,ORL,Magic,17-29,118
1/21/2023,TOR,Raptors,20-27,104,BOS,Celtics,35-12,106
1/22/2023,DAL,Mavericks,25-23,98,LAC,Clippers,25-24,112
1/22/2023,MIA,Heat,26-22,100,NOP,Pelicans,26-21,96
1/22/2023,PHX,Suns,24-24,112,MEM,Grizzlies,31-15,110
1/22/2023,GSW,Warriors,23-24,116,BKN,Nets,29-17,120
1/22/2023,TOR,Raptors,21-27,125,NYK,Knicks,25-23,116
1/22/2023,POR,Trail Blazers,21-25,112,LAL,Lakers,22-25,121
1/22/2023,DEN,Nuggets,33-14,99,OKC,Thunder,23-24,101
1/23/2023,SAC,Kings,27-19,133,MEM,Grizzlies,31-16,100
1/23/2023,ORL,Magic,18-29,113,BOS,Celtics,35-13,98
1/23/2023,DET,Pistons,12-37,130,MIL,Bucks,30-17,150
1/23/2023,CHI,Bulls,22-24,111,ATL,Hawks,24-24,100
1/23/2023,UTA,Jazz,25-25,120,CHA,Hornets,13-35,102
1/23/2023,POR,Trail Blazers,22-25,147,SAS,Spurs,14-33,127
1/23/2023,HOU,Rockets,11-36,119,MIN,Timberwolves,24-25,114
1/24/2023,PHX,Suns,25-24,128,CHA,Hornets,13-36,97
1/24/2023,DAL,Mavericks,25-24,126,WAS,Wizards,21-26,127
1/24/2023,NOP,Pelicans,26-22,98,DEN,Nuggets,34-14,99
1/24/2023,NYK,Knicks,26-23,105,CLE,Cavaliers,29-20,103
1/24/2023,MIA,Heat,27-22,98,BOS,Celtics,35-14,95
1/24/2023,IND,Pacers,24-25,116,CHI,Bulls,22-25,110
1/24/2023,LAL,Lakers,22-26,115,LAC,Clippers,26-24,133
1/25/2023,MIL,Bucks,31-17,107,DEN,Nuggets,34-15,99
1/25/2023,SAC,Kings,27-20,95,TOR,Raptors,22-27,113
1/25/2023,POR,Trail Blazers,23-25,134,UTA,Jazz,25-26,124
1/25/2023,GSW,Warriors,24-24,122,MEM,Grizzlies,31-17,120
1/25/2023,ORL,Magic,19-29,126,IND,Pacers,24-26,120
1/25/2023,OKC,Thunder,23-25,132,ATL,Hawks,25-24,137
1/25/2023,NOP,Pelicans,26-23,102,MIN,Timberwolves,25-25,111
1/25/2023,HOU,Rockets,11-37,103,WAS,Wizards,22-26,108
1/25/2023,PHI,76ers,31-16,137,BKN,Nets,29-18,133
1/25/2023,LAL,Lakers,23-26,113,SAS,Spurs,14-34,104
1/26/2023,HOU,Rockets,11-38,95,CLE,Cavaliers,30-20,113
1/26/2023,LAC,Clippers,27-24,138,SAS,Spurs,14-35,100
1/26/2023,PHX,Suns,25-25,95,DAL,Mavericks,26-24,99
1/26/2023,BOS,Celtics,35-15,117,NYK,Knicks,27-23,120
1/26/2023,BKN,Nets,29-19,122,DET,Pistons,13-37,130
1/26/2023,CHA,Hornets,14-36,111,CHI,Bulls,22-26,96
1/27/2023,MIN,Timberwolves,26-25,111,MEM,Grizzlies,31-18,100
1/27/2023,OKC,Thunder,24-25,112,CLE,Cavaliers,30-21,100
1/27/2023,IND,Pacers,24-27,131,MIL,Bucks,32-17,141
1/27/2023,MIA,Heat,28-22,110,ORL,Magic,19-30,105
1/27/2023,GSW,Warriors,25-24,129,TOR,Raptors,22-28,117
1/28/2023,BKN,Nets,30-19,122,NYK,Knicks,27-24,115
1/28/2023,POR,Trail Blazers,23-26,105,TOR,Raptors,23-28,123
1/28/2023,ATL,Hawks,25-25,113,LAC,Clippers,28-24,120
1/28/2023,BOS,Celtics,36-15,125,LAL,Lakers,23-27,121
1/28/2023,NOP,Pelicans,26-24,103,WAS,Wizards,23-26,113
1/28/2023,ORL,Magic,19-31,109,CHI,Bulls,23-26,128
1/28/2023,PHI,76ers,32-16,126,DEN,Nuggets,34-16,119
1/28/2023,DET,Pistons,13-38,114,HOU,Rockets,12-38,117
1/28/2023,UTA,Jazz,26-26,108,DAL,Mavericks,26-25,100
1/28/2023,MIN,Timberwolves,27-25,117,SAC,Kings,27-21,110
1/28/2023,SAS,Spurs,14-36,118,PHX,Suns,26-25,128
1/29/2023,MEM,Grizzlies,32-18,112,IND,Pacers,24-28,100
1/29/2023,CLE,Cavaliers,31-21,122,LAC,Clippers,28-25,99
1/29/2023,CHA,Hornets,15-36,122,MIA,Heat,28-23,117
1/29/2023,MIL,Bucks,33-17,135,NOP,Pelicans,26-25,110
1/30/2023,DAL,Mavericks,27-25,111,DET,Pistons,13-39,105
1/30/2023,MIN,Timberwolves,27-26,111,SAC,Kings,28-21,118
1/30/2023,SAS,Spurs,14-37,106,WAS,Wizards,24-26,127
1/30/2023,OKC,Thunder,24-26,120,GSW,Warriors,26-24,128
1/30/2023,PHI,76ers,32-17,109,ORL,Magic,20-31,119
1/30/2023,POR,Trail Blazers,24-26,129,ATL,Hawks,25-26,125
1/30/2023,BKN,Nets,31-19,121,LAL,Lakers,23-28,104
1/30/2023,PHX,Suns,27-25,114,TOR,Raptors,23-29,106
1/31/2023,MIL,Bucks,34-17,124,CHA,Hornets,15-37,115
1/31/2023,CHI,Bulls,23-27,103,LAC,Clippers,29-25,108
1/31/2023,DEN,Nuggets,35-16,122,NOP,Pelicans,26-26,113
1/31/2023,NYK,Knicks,27-25,123,LAL,Lakers,24-28,129
1/31/2023,CLE,Cavaliers,31-22,97,MIA,Heat,29-23,100
2/1/2023,SAS,Spurs,14-38,109,SAC,Kings,29-21,119
2/1/2023,MIN,Timberwolves,28-26,119,GSW,Warriors,26-25,114
2/1/2023,PHX,Suns,27-26,100,ATL,Hawks,26-26,132
2/1/2023,UTA,Jazz,27-26,131,TOR,Raptors,23-30,128
