game_date_est,Start (ET),team_abbreviation_away,away_full_name (depr),away_full_name,away_city,team_nickname_away,team_wins_losses_away,pts_away,team_abbreviation_home,home_full_name (depr),home_full_name,home_city,team_nickname_home,team_wins_losses_home,pts_home,,,Attend.,Arena,Notes
2023-03-17,7:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,47-22,121,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,22-50,82,Box Score,,19096,Spectrum Center,
2023-03-17,7:30p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,36-35,119,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,35-35,127,Box Score,,18201,State Farm Arena,
2023-03-17,7:30p,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,32-38,94,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,45-28,117,Box Score,,19432,Rocket Mortgage Fieldhouse,
2023-03-17,8:00p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,35-36,131,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,32-37,139,Box Score,2OT,20109,United Center,
2023-03-17,8:00p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,33-37,112,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-52,114,Box Score,,15841,Toyota Center,
2023-03-17,8:00p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,42-27,126,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,18-52,120,Box Score,OT,15221,AT&T Center,
2023-03-17,10:00p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,49-22,126,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,31-39,112,Box Score,,19393,Moda Center,
2023-03-17,10:30p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,36-35,111,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,34-37,110,Box Score,,18997,Crypto.com Arena,
2023-03-18,1:00p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,47-24,110,NYK,NewYork Knicks,New York Knicks,New York,Knicks,42-30,116,Box Score,,19812,Madison Square Garden (IV),
2023-03-18,3:00p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,29-42,113,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,37-34,108,Box Score,,17533,Crypto.com Arena,
2023-03-18,7:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,48-22,141,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,32-39,121,Box Score,,17274,Gainbridge Fieldhouse,
2023-03-18,7:00p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,35-37,107,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,35-36,122,Box Score,,19800,Scotiabank Arena,
2023-03-18,8:00p,MIA,Miami Heat,Miami Heat,Miami,Heat,38-34,99,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,33-37,113,Box Score,,20094,United Center,
2023-03-18,8:00p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,36-36,119,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,43-27,133,Box Score,,18396,FedEx Forum,
2023-03-18,8:00p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,43-27,132,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,32-39,118,Box Score,,18529,Capital One Arena,
2023-03-18,9:00p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,49-23,117,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,34-36,118,Box Score,,18206,Vivint Arena,
2023-03-19,3:30p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,48-24,108,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,39-32,102,Box Score,,18235,Barclays Center,
2023-03-19,3:30p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,38-33,120,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,35-36,124,Box Score,,17897,Paycom Center,
2023-03-19,4:00p,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,35-36,118,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-52,126,Box Score,,16311,AT&T Center,
2023-03-19,6:00p,MIA,Miami Heat,Miami Heat,Miami,Heat,39-34,112,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-56,100,Box Score,,20190,Little Caesars Arena,
2023-03-19,7:00p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,34-37,117,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-53,107,Box Score,,14209,Toyota Center,
2023-03-19,8:00p,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,35-37,111,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,51-20,118,Box Score,,17341,Fiserv Forum,
2023-03-19,9:00p,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,38-34,117,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,31-40,102,Box Score,,18714,Moda Center,
2023-03-19,9:30p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,29-43,105,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,35-37,111,Box Score,,18997,Crypto.com Arena,
2023-03-20,7:00p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,32-40,109,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,23-50,115,Box Score,,12449,Spectrum Center,
2023-03-20,7:00p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,34-37,109,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,48-23,105,Box Score,2OT,21145,Wells Fargo Center,
2023-03-20,7:30p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,36-37,140,NYK,NewYork Knicks,New York Knicks,New York,Knicks,42-31,134,Box Score,,19812,Madison Square Garden (IV),
2023-03-20,8:00p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,37-36,121,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,18-54,108,Box Score,,16116,Toyota Center,
2023-03-20,8:00p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,36-36,108,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,44-27,112,Box Score,,17794,FedEx Forum,
2023-03-20,9:00p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,43-28,120,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,35-36,128,Box Score,,18206,Vivint Arena,
2023-03-21,7:00p,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,32-40,112,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,30-43,122,Box Score,,16096,Amway Center,
2023-03-21,7:30p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-57,107,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,36-36,129,Box Score,,17129,State Farm Arena,
2023-03-21,7:30p,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,46-28,115,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,39-33,109,Box Score,,17732,Barclays Center,
2023-03-21,8:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-53,84,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,35-37,119,Box Score,,15466,Smoothie King Center,
