game_date_est,Start (ET),team_abbreviation_away,away_full_name (depr),away_full_name,away_city,team_nickname_away,team_wins_losses_away,pts_away,team_abbreviation_home,home_full_name (depr),home_full_name,home_city,team_nickname_home,team_wins_losses_home,pts_home,,,Attend.,Arena,Notes
2023-03-29,8:00p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-60,106,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,38-39,107,Box Score,,15047,Paycom Center,
2023-03-29,8:00p,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,36-40,128,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-57,117,Box Score,,18354,AT&T Center,
2023-03-29,10:00p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,39-38,100,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,41-35,107,Box Score,,17071,Footprint Center,
2023-03-29,10:00p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,46-30,120,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,32-44,80,Box Score,,18550,Moda Center,
2023-03-30,7:30p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,53-24,140,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,55-22,99,Box Score,,18073,Fiserv Forum,
2023-03-30,10:00p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,39-38,107,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,51-25,88,Box Score,,19728,Ball Arena,
2023-03-31,7:00p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,37-40,121,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,26-52,91,Box Score,,18768,Spectrum Center,
2023-03-31,7:00p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,38-40,117,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,34-44,121,Box Score,,16506,Gainbridge Fieldhouse,
2023-03-31,7:00p,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,38-39,110,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,51-26,117,Box Score,,20993,Wells Fargo Center,
2023-03-31,7:00p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,33-44,116,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,34-43,109,Box Score,,16411,Capital One Arena,
2023-03-31,7:30p,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,36-41,114,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,54-24,122,Box Score,,19156,TD Garden,
2023-03-31,7:30p,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,38-39,107,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,42-35,124,Box Score,,17849,Barclays Center,
2023-03-31,7:30p,NYK,NewYork Knicks,New York Knicks,NewYork,Knicks,45-33,130,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,48-30,116,Box Score,,19432,Rocket Mortgage Fieldhouse,
2023-03-31,8:00p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-61,115,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,19-59,121,Box Score,,15844,Toyota Center,
2023-03-31,8:00p,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,41-37,94,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,49-28,108,Box Score,,16376,FedEx Forum,
2023-03-31,8:00p,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,39-38,123,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,39-39,111,Box Score,,18978,Target Center,
2023-03-31,10:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,19-58,115,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,41-37,130,Box Score,,18064,Chase Center,
2023-03-31,10:00p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,47-30,138,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,32-45,114,Box Score,,18389,Moda Center,
2023-03-31,10:30p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,51-26,93,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,42-35,100,Box Score,,17071,Footprint Center,
2023-04-01,7:30p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,37-41,122,MIA,Miami Heat,Miami Heat,Miami,Heat,41-37,129,Box Score,,20011,FTX Arena,
2023-04-01,8:30p,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,41-38,114,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,40-38,122,Box Score,,18399,Smoothie King Center,
2023-04-02,1:00p,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,39-39,128,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,26-53,108,Box Score,,16052,Spectrum Center,
2023-04-02,3:30p,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,36-42,110,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,43-35,111,Box Score,,17732,Barclays Center,
2023-04-02,3:30p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,49-29,107,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,38-40,128,Box Score,,20944,United Center,
2023-04-02,3:30p,POR,Portland TrailBlazers,Portland Trail Blazers,Portland,Trail Blazers,33-45,107,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,39-40,105,Box Score,,18978,Target Center,
2023-04-02,6:00p,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,37-42,130,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,39-39,132,Box Score,OT,17678,State Farm Arena,
2023-04-02,6:00p,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,34-44,109,NYK,NewYork Knicks,New York Knicks,New York,Knicks,46-33,118,Box Score,,19812,Madison Square Garden (IV),
2023-04-02,6:00p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-62,102,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,34-44,128,Box Score,,19431,Amway Center,
2023-04-02,6:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,20-58,142,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,47-31,134,Box Score,OT,18183,Golden 1 Center,
2023-04-02,7:00p,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,40-38,134,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,19-60,109,Box Score,,18204,Toyota Center,
2023-04-02,7:00p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,43-35,128,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,38-41,118,Box Score,,17981,Paycom Center,
2023-04-02,8:00p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,34-45,105,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,49-30,115,Box Score,,19432,Rocket Mortgage Fieldhouse,
2023-04-02,8:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,51-27,104,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,56-22,117,Box Score,,17532,Fiserv Forum,
2023-04-02,8:30p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,41-38,110,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,52-26,112,Box Score,,19752,Ball Arena,
2023-04-04,7:00p,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,40-39,120,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,26-54,100,Box Score,,14965,Spectrum Center,
2023-04-04,7:00p,MIA,Miami Heat,Miami Heat,Miami,Heat,42-37,118,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-63,105,Box Score,,18453,Little Caesars Arena,
2023-04-04,7:00p,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,50-30,117,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,34-45,113,Box Score,,19449,Amway Center,
2023-04-04,7:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,57-22,140,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,34-45,128,Box Score,,19098,Capital One Arena,
2023-04-04,7:30p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,40-40,107,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,43-36,102,Box Score,,17893,Barclays Center,
2023-04-04,8:00p,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,40-39,123,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,38-41,105,Box Score,,21717,United Center,
2023-04-04,8:00p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,52-27,103,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,20-60,124,Box Score,,16924,Toyota Center,
2023-04-04,8:00p,POR,Portland TrailBlazers,Portland Trail Blazers,Portland,Trail Blazers,33-46,109,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,50-29,119,Box Score,,17558,FedEx Forum,
2023-04-04,8:00p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,48-31,121,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,40-39,103,Box Score,,15799,Smoothie King Center,
2023-04-04,8:00p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,54-25,101,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,52-27,103,Box Score,,21104,Wells Fargo Center,
2023-04-04,9:00p,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,41-38,135,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,36-43,133,Box Score,OT,18206,Vivint Arena,
2023-04-04,10:00p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,38-42,125,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,42-38,136,Box Score,,18064,Chase Center,
2023-04-04,10:00p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,20-59,94,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,44-35,115,Box Score,,17071,Footprint Center,
2023-04-05,7:00p,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,44-36,123,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-64,108,Box Score,,18313,Little Caesars Arena,
2023-04-05,7:00p,NYK,NewYork Knicks,New York Knicks,NewYork,Knicks,47-33,138,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,34-46,129,Box Score,,16789,Gainbridge Fieldhouse,
2023-04-05,7:30p,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,34-46,116,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,41-39,134,Box Score,,17727,State Farm Arena,
2023-04-05,7:30p,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,40-40,93,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,55-25,97,Box Score,,19156,TD Garden,
2023-04-05,7:30p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,38-42,92,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,58-22,105,Box Score,,17679,Fiserv Forum,
2023-04-05,8:00p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,50-30,131,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,41-39,138,Box Score,OT,17232,Smoothie King Center,
2023-04-05,8:30p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,48-32,119,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,38-42,123,Box Score,,20271,American Airlines Center,
2023-04-05,10:00p,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,41-39,118,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,42-38,125,Box Score,,19068,Crypto.com Arena,
2023-04-06,7:00p,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,51-30,118,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,34-46,94,Box Score,,19235,Amway Center,
2023-04-06,7:30p,MIA,Miami Heat,Miami Heat,Miami,Heat,43-37,129,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,52-28,101,Box Score,,21178,Wells Fargo Center,
2023-04-06,8:00p,POR,Portland TrailBlazers,Portland Trail Blazers,Portland,Trail Blazers,33-47,127,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,21-59,129,Box Score,,16023,Moody Center,
2023-04-06,9:00p,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,39-42,114,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,36-44,98,Box Score,,18206,Vivint Arena,
2023-04-06,10:00p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,52-28,115,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,45-35,119,Box Score,,17071,Footprint Center,
2023-04-07,7:00p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,21-60,112,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,26-55,109,Box Score,,19102,Spectrum Center,
2023-04-07,7:00p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,17-64,122,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,34-47,115,Box Score,,17274,Gainbridge Fieldhouse,
2023-04-07,7:00p,MIA,Miami Heat,Miami Heat,Miami,Heat,43-38,108,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,35-46,114,Box Score,,20476,Capital One Arena,
2023-04-07,7:30p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,53-28,136,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,41-40,131,Box Score,OT,17627,State Farm Arena,
2023-04-07,7:30p,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,40-41,102,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,56-25,121,Box Score,,19156,TD Garden,
2023-04-07,7:30p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,34-47,84,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,45-36,101,Box Score,,18177,Barclays Center,
2023-04-07,8:00p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,51-30,137,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,58-23,114,Box Score,,18010,Fiserv Forum,
2023-04-07,8:00p,NYK,NewYork Knicks,New York Knicks,NewYork,Knicks,47-34,105,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,42-39,113,Box Score,,18656,Smoothie King Center,
2023-04-07,8:30p,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,39-42,115,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,38-43,112,Box Score,,20313,American Airlines Center,
2023-04-07,10:00p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,43-38,119,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,48-33,97,Box Score,,18253,Golden 1 Center,
2023-04-07,10:30p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,45-36,107,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,42-39,121,Box Score,,18997,Crypto.com Arena,
2023-04-08,3:30p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,52-29,114,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,37-44,118,Box Score,,18206,Vivint Arena,
2023-04-08,4:00p,POR,Portland TrailBlazers,Portland Trail Blazers,Portland,Trail Blazers,33-48,125,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,43-38,136,Box Score,,19068,Crypto.com Arena,
2023-04-08,4:00p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,41-40,151,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,21-60,131,Box Score,,16148,Moody Center,
2023-04-09,1:00p,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,41-41,114,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,57-25,120,Box Score,,19156,TD Garden,
2023-04-09,1:00p,PHI,Philadelphia 76ers,Philadelphia 76ers,Philadelphia,76ers,54-28,134,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,45-37,105,Box Score,,17732,Barclays Center,
2023-04-09,1:00p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,17-65,81,CHI,Chicago Bulls,Chicago Bulls,Chicago,Bulls,40-42,103,Box Score,,21530,United Center,
2023-04-09,1:00p,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,27-55,106,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,51-31,95,Box Score,,19432,Rocket Mortgage Fieldhouse,
2023-04-09,1:00p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,34-48,110,MIA,Miami Heat,Miami Heat,Miami,Heat,44-38,123,Box Score,,19894,FTX Arena,
2023-04-09,1:00p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,35-47,141,NYK,NewYork Knicks,New York Knicks,New York,Knicks,47-35,136,Box Score,,19812,Madison Square Garden (IV),
2023-04-09,1:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,58-24,105,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,41-41,121,Box Score,,19800,Scotiabank Arena,
2023-04-09,1:00p,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,22-60,114,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,35-47,109,Box Score,,15233,Capital One Arena,
2023-04-09,3:30p,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,22-60,138,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,38-44,117,Box Score,,20141,American Airlines Center,
2023-04-09,3:30p,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,48-34,95,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,53-29,109,Box Score,,19652,Ball Arena,
2023-04-09,3:30p,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,37-45,117,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,43-39,128,Box Score,,18997,Crypto.com Arena,
2023-04-09,3:30p,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,42-40,108,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,42-40,113,Box Score,,18978,Target Center,
2023-04-09,3:30p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,51-31,100,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,40-42,115,Box Score,,16601,Paycom Center,
2023-04-09,3:30p,LAC,LosAngeles Clippers,Los Angeles Clippers,Los Angeles,Clippers,44-38,119,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,45-37,114,Box Score,,17071,Footprint Center,
2023-04-09,3:30p,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,44-38,157,POR,PortlandTrail Blazers,Portland Trail Blazers,Portland Trail,Blazers,33-49,101,Box Score,,19731,Moda Center,
